"","highest_level_of_education","job_satisfaction","self_ascribed_social_class","financial_satisfaction","compare_financial_status_against_other_us_families"
"3351","Less Than High School","A Little Dissatisfied","Upper Class","More or Less Satisfied","Average"
"3352","Bachelors Degree","Very Satisfied","Upper Class","Pretty Well Satisfied","Below Average"
"3353","Bachelors Degree","A Little Dissatisfied","Lower Class","Pretty Well Satisfied","Far Below Average"
"3354","High School","Very Dissatisfied","Upper Class","More or Less Satisfied","Above Average"
"3355","High School","Moderately Satisfied","Upper Class","Pretty Well Satisfied","Average"
"3356","Bachelors Degree","A Little Dissatisfied","Middle Class","More or Less Satisfied","Below Average"
"3357","Bachelors Degree","Moderately Satisfied","Upper Class","More or Less Satisfied","Far Above Average"
"3358","Less Than High School","Moderately Satisfied","Working Class","More or Less Satisfied","Average"
"3359","Bachelors Degree","Very Satisfied","Middle Class","Not Satisfied at All","Below Average"
"3360","High School","A Little Dissatisfied","Working Class","Pretty Well Satisfied","Below Average"
"3361","Less Than High School","Very Dissatisfied","Upper Class","Not Satisfied at All","Far Above Average"
"3362","High School","A Little Dissatisfied","Middle Class","Not Satisfied at All","Far Above Average"
"3363","Less Than High School","A Little Dissatisfied","Upper Class","More or Less Satisfied","Below Average"
"3364","Less Than High School","Moderately Satisfied","Upper Class","More or Less Satisfied","Below Average"
"3365","Graduate Degree","A Little Dissatisfied","Upper Class","Not Satisfied at All","Far Above Average"
"3366","High School","A Little Dissatisfied","Working Class","Not Satisfied at All","Below Average"
"3367","Graduate Degree","Very Satisfied","Middle Class","Not Satisfied at All","Above Average"
"3368","Less Than High School","Very Dissatisfied","Upper Class","More or Less Satisfied","Far Below Average"
"3369","Associate / Junior College","Very Satisfied","Working Class","More or Less Satisfied","Far Below Average"
"3370","Associate / Junior College","Very Dissatisfied","Upper Class","Pretty Well Satisfied","Average"
"3371","Less Than High School","Very Dissatisfied","Middle Class","Not Satisfied at All","Average"
"3372","Associate / Junior College","A Little Dissatisfied","Working Class","More or Less Satisfied","Average"
"3373","Associate / Junior College","Very Satisfied","Upper Class","Not Satisfied at All","Average"
"3374","Bachelors Degree","Moderately Satisfied","Working Class","Not Satisfied at All","Average"
"3375","High School","Very Dissatisfied","Upper Class","Not Satisfied at All","Far Above Average"
"3376","Graduate Degree","Very Satisfied","Working Class","More or Less Satisfied","Below Average"
"3377","Less Than High School","Very Dissatisfied","Middle Class","Not Satisfied at All","Far Below Average"
"3378","Graduate Degree","Very Dissatisfied","Upper Class","Pretty Well Satisfied","Average"
"3379","Graduate Degree","Very Satisfied","Middle Class","Not Satisfied at All","Above Average"
"3380","Graduate Degree","A Little Dissatisfied","Lower Class","Not Satisfied at All","Above Average"
"3381","Graduate Degree","Very Dissatisfied","Upper Class","Not Satisfied at All","Far Below Average"
"3382","Associate / Junior College","Very Satisfied","Middle Class","Not Satisfied at All","Above Average"
"3383","Graduate Degree","Very Dissatisfied","Lower Class","Not Satisfied at All","Far Above Average"
"3384","High School","Moderately Satisfied","Lower Class","More or Less Satisfied","Far Below Average"
"3385","Graduate Degree","Very Satisfied","Lower Class","More or Less Satisfied","Far Below Average"
"3386","Bachelors Degree","Very Dissatisfied","Lower Class","More or Less Satisfied","Far Below Average"
"3387","Bachelors Degree","Moderately Satisfied","Working Class","Not Satisfied at All","Below Average"
"3388","Bachelors Degree","Moderately Satisfied","Upper Class","More or Less Satisfied","Average"
"3389","Bachelors Degree","Very Dissatisfied","Middle Class","More or Less Satisfied","Average"
"3390","Graduate Degree","A Little Dissatisfied","Lower Class","Not Satisfied at All","Below Average"
"3391","Graduate Degree","Moderately Satisfied","Middle Class","More or Less Satisfied","Far Above Average"
"3392","Bachelors Degree","A Little Dissatisfied","Working Class","Pretty Well Satisfied","Average"
"3393","Bachelors Degree","Moderately Satisfied","Lower Class","Pretty Well Satisfied","Far Above Average"
"3394","Less Than High School","Very Dissatisfied","Working Class","Not Satisfied at All","Below Average"
"3395","Associate / Junior College","A Little Dissatisfied","Upper Class","More or Less Satisfied","Average"
"3396","Bachelors Degree","A Little Dissatisfied","Lower Class","Pretty Well Satisfied","Far Below Average"
"3397","Bachelors Degree","Very Dissatisfied","Working Class","More or Less Satisfied","Far Above Average"
"3398","Associate / Junior College","Very Dissatisfied","Upper Class","Pretty Well Satisfied","Below Average"
"3399","High School","Moderately Satisfied","Working Class","Not Satisfied at All","Far Below Average"
"3400","Graduate Degree","Very Satisfied","Middle Class","More or Less Satisfied","Average"
"3401","Graduate Degree","Very Satisfied","Working Class","More or Less Satisfied","Far Below Average"
"3402","High School","Very Satisfied","Working Class","Not Satisfied at All","Above Average"
"3403","Bachelors Degree","Moderately Satisfied","Upper Class","More or Less Satisfied","Above Average"
"3404","Bachelors Degree","A Little Dissatisfied","Upper Class","Not Satisfied at All","Far Below Average"
"3405","Associate / Junior College","Very Satisfied","Working Class","More or Less Satisfied","Below Average"
"3406","High School","A Little Dissatisfied","Upper Class","Pretty Well Satisfied","Above Average"
"3407","Associate / Junior College","Very Dissatisfied","Upper Class","Pretty Well Satisfied","Below Average"
"3408","High School","Very Dissatisfied","Lower Class","Not Satisfied at All","Above Average"
"3409","Graduate Degree","Very Dissatisfied","Working Class","Pretty Well Satisfied","Average"
"3410","Associate / Junior College","Very Satisfied","Upper Class","Not Satisfied at All","Above Average"
"3411","Bachelors Degree","Very Satisfied","Upper Class","Pretty Well Satisfied","Average"
"3412","Less Than High School","Very Satisfied","Working Class","Pretty Well Satisfied","Average"
"3413","Graduate Degree","A Little Dissatisfied","Upper Class","Not Satisfied at All","Below Average"
"3414","Associate / Junior College","Very Satisfied","Middle Class","More or Less Satisfied","Average"
"3415","Graduate Degree","A Little Dissatisfied","Working Class","Not Satisfied at All","Far Below Average"
"3416","Less Than High School","Very Satisfied","Working Class","Not Satisfied at All","Above Average"
"3417","Associate / Junior College","Very Satisfied","Middle Class","Pretty Well Satisfied","Below Average"
"3418","Bachelors Degree","A Little Dissatisfied","Upper Class","Pretty Well Satisfied","Above Average"
"3419","Associate / Junior College","Very Satisfied","Working Class","More or Less Satisfied","Average"
"3420","Bachelors Degree","Very Satisfied","Upper Class","More or Less Satisfied","Far Above Average"
"3421","Less Than High School","Very Satisfied","Upper Class","Pretty Well Satisfied","Above Average"
"3422","Less Than High School","Very Satisfied","Lower Class","More or Less Satisfied","Average"
"3423","High School","A Little Dissatisfied","Upper Class","Pretty Well Satisfied","Below Average"
"3424","Less Than High School","Moderately Satisfied","Middle Class","More or Less Satisfied","Below Average"
"3425","Associate / Junior College","Very Satisfied","Upper Class","Not Satisfied at All","Far Below Average"
"3426","Less Than High School","Very Satisfied","Upper Class","More or Less Satisfied","Below Average"
"3427","High School","Very Satisfied","Upper Class","Pretty Well Satisfied","Below Average"
"3428","Less Than High School","Moderately Satisfied","Working Class","More or Less Satisfied","Far Below Average"
"3429","Less Than High School","Very Satisfied","Lower Class","Not Satisfied at All","Below Average"
"3430","Less Than High School","Very Dissatisfied","Middle Class","Not Satisfied at All","Far Above Average"
"3431","Less Than High School","Very Satisfied","Upper Class","More or Less Satisfied","Below Average"
"3432","Graduate Degree","A Little Dissatisfied","Lower Class","Pretty Well Satisfied","Above Average"
"3433","Bachelors Degree","Very Satisfied","Middle Class","Not Satisfied at All","Above Average"
"3434","Bachelors Degree","Very Satisfied","Lower Class","Pretty Well Satisfied","Above Average"
"3435","Graduate Degree","Moderately Satisfied","Middle Class","More or Less Satisfied","Average"
"3436","Associate / Junior College","A Little Dissatisfied","Middle Class","More or Less Satisfied","Far Above Average"
"3437","Associate / Junior College","Very Satisfied","Upper Class","More or Less Satisfied","Far Below Average"
"3438","Less Than High School","Very Dissatisfied","Working Class","More or Less Satisfied","Far Below Average"
"3439","Less Than High School","Very Dissatisfied","Working Class","More or Less Satisfied","Above Average"
"3440","Less Than High School","Moderately Satisfied","Middle Class","Not Satisfied at All","Below Average"
"3441","Less Than High School","A Little Dissatisfied","Working Class","Pretty Well Satisfied","Below Average"
"3442","Graduate Degree","Very Dissatisfied","Middle Class","Pretty Well Satisfied","Above Average"
"3443","Associate / Junior College","A Little Dissatisfied","Middle Class","Pretty Well Satisfied","Average"
"3444","Less Than High School","Very Dissatisfied","Upper Class","Pretty Well Satisfied","Far Below Average"
"3445","High School","Very Dissatisfied","Working Class","More or Less Satisfied","Far Above Average"
"3446","High School","Very Dissatisfied","Lower Class","Not Satisfied at All","Far Above Average"
"3447","High School","A Little Dissatisfied","Middle Class","More or Less Satisfied","Above Average"
"3448","Less Than High School","A Little Dissatisfied","Middle Class","Pretty Well Satisfied","Far Below Average"
"3449","Bachelors Degree","Very Dissatisfied","Middle Class","Not Satisfied at All","Far Below Average"
"3450","Less Than High School","Very Satisfied","Upper Class","More or Less Satisfied","Below Average"
"3451","Bachelors Degree","Very Dissatisfied","Working Class","Pretty Well Satisfied","Far Above Average"
"3452","Graduate Degree","Very Dissatisfied","Lower Class","Not Satisfied at All","Average"
"3453","Associate / Junior College","A Little Dissatisfied","Working Class","More or Less Satisfied","Far Below Average"
"3454","Associate / Junior College","Moderately Satisfied","Lower Class","Pretty Well Satisfied","Below Average"
"3455","Bachelors Degree","A Little Dissatisfied","Lower Class","More or Less Satisfied","Average"
"3456","Bachelors Degree","Very Satisfied","Working Class","More or Less Satisfied","Far Below Average"
"3457","Graduate Degree","Moderately Satisfied","Lower Class","Not Satisfied at All","Far Above Average"
"3458","Associate / Junior College","A Little Dissatisfied","Middle Class","Not Satisfied at All","Below Average"
"3459","High School","A Little Dissatisfied","Upper Class","Not Satisfied at All","Average"
"3460","Graduate Degree","Very Satisfied","Upper Class","Pretty Well Satisfied","Above Average"
"3461","Associate / Junior College","Very Satisfied","Middle Class","Not Satisfied at All","Far Below Average"
"3462","Graduate Degree","Moderately Satisfied","Lower Class","Not Satisfied at All","Far Above Average"
"3463","Bachelors Degree","Very Dissatisfied","Middle Class","Pretty Well Satisfied","Above Average"
"3464","Less Than High School","Very Satisfied","Lower Class","More or Less Satisfied","Average"
"3465","Associate / Junior College","A Little Dissatisfied","Lower Class","Pretty Well Satisfied","Average"
"3466","Associate / Junior College","Very Dissatisfied","Middle Class","Pretty Well Satisfied","Above Average"
